psraid,cregion,fips,state,kidage,kidgen,age,educ,income,playgame,k17game,k28game
3417,1,44007,44,16,1,41,5,7,1,"GUITAR HERO, SKATE, FORZA MOTORSPORT",
12955,1,44001,44,16,1,40,5,7,1,"GUITAR HERO 3, KANE & LYNCH DEADMEN, SKATE",
16142,1,44003,44,14,1,42,6,8,0,,
7205,1,44007,44,14,1,35,3,3,1,"CALL OF DUTY 4, MADDEN 08, FIFA 08",
2150,1,44007,44,14,2,27,2,1,1,"NEED FOR SPEED, SAGA, JEOPARDY",MICROTYPE
14151,1,44003,44,14,1,36,2,2,1,"CALL OF DUTY, MADDEN, BURN OUT THE NEW ONE",THE BOOKWORM
2173,1,44005,44,12,2,35,5,6,1,"SCRABBLE, PINBALL, SOLITAIRE",MATH PUZZLES
10160,2,31025,31,14,2,44,7,8,1,NONE,
16392,2,31177,31,16,1,44,6,6,1,"NCAA 08, NBA 08, COLLEGE FOOTBALL 08",
908,2,31109,31,14,2,49,3,5,1,"NASCAR, CRASH BANDICOOT, STAR WARS",LEMONADE GAME
5403,2,31141,31,17,2,49,3,6,1,,
13445,2,31055,31,12,1,51,4,9,1,SKATE,
11025,2,31055,31,15,1,37,3,4,1,"DIABLO 2, FINAL FANTASY XII, TONY HAWKS PROJECT 8",
15714,2,31055,31,17,2,52,5,8,1,"GEARS OF WAR, FABLE, PROJECT GOTHAM 3",LEMONADE STAND - LEMONADE.COM
16884,3,13121,13,14,1,36,5,6,1,"MEDAL OF HONOR,  WIII SPORTS, CALL OF DUTY",
703,3,13121,13,17,2,68,3,5,1,THE SIMS,MADDEN
16310,3,40027,40,12,2,43,7,7,1,ZOO TYCOON. WEBKINS (INTERNET GAME). GUITAR HERO,
12184,3,40109,40,17,2,36,6,7,1,"GUITAR HERO, DANCE DANCE REVOLUTION, SONIC",
10470,3,40119,40,16,1,49,7,9,1,"HALO, GEARS OF WAR, DEERHUNTING",
10347,3,40109,40,12,1,35,6,7,1,"HALO 3, CALL OF DUTY 4",
11023,3,40125,40,12,1,44,6,8,1,"NCCAA FOOTBALL, NCAA BASKETBALL, NBA BASKETBALL",STUDY ISLAND
15452,4,30049,30,13,2,48,5,7,1,"THE SIMS, ROLLER COASTER TYCON",
8857,4,30111,30,15,1,45,3,9,1,"HALO 2, HALO 3, GEARS OF WAR",LEARNING GAME
15941,4,30013,30,13,2,52,2,5,1,"CRASH BANDICOOT, MARIO SECRET BROTHERS, TONY HAWK'S PRO SKATER 2",MATH FLASHING CARD GAME
1815,4,30029,30,17,2,40,3,4,1,SOLITAIRE,
9559,4,30081,30,13,1,36,5,8,1,"FINAL FANTASY, KINGDOM HEARTS, ADVENTURE QUEST",
2416,3,12117,12,17,1,52,7,8,1,"GRAND THEFT AUTO, MARIO PARTY, HALO",
15540,3,12117,12,16,2,45,6,8,1,"MISS POPULARITY, LUCITO GREEN EXPEDITION, BOOKWORM",
1345,3,12117,12,12,1,43,6,7,1,"MYTHWAR, SUPER SMASH BROTHERS MELEE, HALO 2",
5549,3,12095,12,15,2,50,5,7,1,I CANT THINK OF ANY RIGHT NOW.  JUST GO TO WEBSITE MINICLIPS.COM AND PLAY MANY GAMES THERE,
931,3,12095,12,17,1,50,3,4,1,"FINAL FANTASY, DYNASTY WARRIORS",
5987,3,12117,12,14,2,47,5,8,1,"DANCE DANCE REVOLUTION, WII SPORTS, DISNEY FAIRIES",HANGEROO
1553,3,12117,12,12,2,42,6,8,1,"NEED FOR SPEED - MOST WANTED, NEED FOR SPEED CARBON, MARIO KART",
16009,4,6085,6,17,1,49,5,8,1,"SOUL CALIBUR, GRAN TURISMO, GUITAR HERO",
3513,4,6085,6,16,2,54,6,5,1,,
2725,4,6085,6,16,2,51,7,4,1,"SOLITAIRE, BUBBLE BRAKER, FREE CELL",
15998,3,48403,48,13,2,44,5,8,1,"SPORTS, SOLITAIRE",
2396,3,48361,48,15,1,38,3,7,1,"WORLD OF WARCRAFT, HALO 3, ASSASSIN'S CREED",MATH BLASTER
14624,3,48245,48,14,2,47,2,1,1,"MADDEN 08, NBA LIVE 08, NCAA 08",TYPERSHARK
12624,3,24005,24,16,1,37,6,6,1,"HALO 3, CALL OF DUTY 4, ASSASSIN'S CREED",NO RESPONSE
